'name' 	 'time' 	 'f1' 	 'f2' 	 'f3' 	 'f4' 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.485 	 1073.0 	 1617.4 	 2970.8 	 4285.0 
0.490 	 1052.5 	 1617.9 	 2974.6 	 4306.3 
0.495 	 1007.7 	 1586.4 	 2981.7 	 4284.9 
0.500 	 982.7 	 1602.3 	 3003.7 	 4259.5 
0.505 	 885.6 	 1634.3 	 3022.6 	 4248.2 
0.510 	 861.0 	 1640.9 	 3009.5 	 4279.8 
0.515 	 908.4 	 1653.1 	 3015.4 	 4322.0 
0.520 	 921.5 	 1636.4 	 3020.3 	 4251.5 
0.525 	 913.4 	 1581.3 	 2982.0 	 4162.5 
0.530 	 895.6 	 1559.0 	 2911.0 	 4142.7 
0.535 	 889.5 	 1493.3 	 2909.7 	 4124.3 
0.540 	 902.3 	 1438.0 	 2915.6 	 4059.1 
0.545 	 947.6 	 1486.9 	 2928.7 	 4001.2 
0.550 	 948.3 	 1532.2 	 2998.7 	 4027.7 
0.555 	 891.1 	 1570.4 	 3079.1 	 4126.2 
0.560 	 867.8 	 1552.7 	 2910.1 	 4017.4 
0.565 	 864.5 	 1449.2 	 2546.6 	 3800.0 
0.570 	 861.6 	 1493.8 	 2460.3 	 3716.6 
0.575 	 827.7 	 1466.0 	 2459.4 	 3712.4 
0.580 	 821.4 	 1520.6 	 2397.9 	 3667.6 
0.585 	 878.3 	 1344.9 	 2184.8 	 3502.7 
0.590 	 995.8 	 1947.9 	 3094.2 	 --undefined-- 
0.595 	 1076.6 	 2077.5 	 3144.2 	 --undefined-- 
0.600 	 827.8 	 1749.8 	 2669.1 	 5198.6 
0.605 	 361.0 	 1440.6 	 4662.8 	 --undefined-- 
0.610 	 260.4 	 1383.4 	 5188.0 	 --undefined-- 
0.615 	 259.9 	 1383.6 	 5188.0 	 --undefined-- 
0.620 	 259.5 	 1383.8 	 5188.0 	 --undefined-- 
0.625 	 259.0 	 1384.1 	 5188.0 	 --undefined-- 
0.630 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.635 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.640 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.645 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.650 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
