'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.490 	 937.2 	 1695.3 	 3018.0 	 4399.5 
0.495 	 1003.5 	 1738.5 	 3007.9 	 4356.4 
0.500 	 1012.5 	 1803.0 	 3000.3 	 4321.1 
0.505 	 1027.5 	 1830.2 	 3032.7 	 4345.0 
0.510 	 1040.3 	 1774.8 	 3053.8 	 4358.8 
0.515 	 1083.9 	 1722.3 	 3050.2 	 4331.6 
0.520 	 1116.7 	 1718.9 	 3038.1 	 4308.8 
0.525 	 1113.5 	 1740.5 	 3043.7 	 4265.3 
0.530 	 1053.6 	 1710.7 	 3040.3 	 4211.8 
0.535 	 984.4 	 1628.1 	 2981.0 	 4164.8 
0.540 	 984.9 	 1618.8 	 2941.7 	 4126.7 
0.545 	 971.1 	 1642.9 	 2947.4 	 4135.7 
0.550 	 1042.7 	 1674.0 	 2942.3 	 4139.6 
0.555 	 960.8 	 1640.7 	 2965.5 	 4118.6 
0.560 	 866.5 	 1587.5 	 2982.1 	 4130.6 
0.565 	 825.5 	 1611.8 	 2998.5 	 4110.2 
0.570 	 787.1 	 1630.2 	 3042.4 	 4091.2 
0.575 	 791.8 	 1622.1 	 3069.8 	 4092.9 
0.580 	 816.6 	 1617.6 	 3080.0 	 4098.6 
0.585 	 829.1 	 1615.0 	 3130.5 	 3851.2 
0.590 	 836.0 	 1630.7 	 3191.2 	 3392.5 
0.595 	 934.4 	 1796.8 	 3239.5 	 --undefined-- 
0.600 	 1418.3 	 2879.7 	 4808.5 	 --undefined-- 
0.605 	 518.1 	 1733.1 	 5190.1 	 --undefined-- 
0.610 	 264.1 	 1381.4 	 5188.0 	 --undefined-- 
0.615 	 263.9 	 1381.5 	 5188.0 	 --undefined-- 
0.620 	 263.6 	 1381.6 	 5188.0 	 --undefined-- 
0.625 	 263.3 	 1381.8 	 5188.0 	 --undefined-- 
0.630 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.635 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.640 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.645 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.650 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
