'name' 	 'time' 	 'f0' 
0.005 	 --undefined-- 
0.010 	 --undefined-- 
0.015 	 --undefined-- 
0.020 	 --undefined-- 
0.025 	 --undefined-- 
0.030 	 --undefined-- 
0.035 	 --undefined-- 
0.040 	 --undefined-- 
0.045 	 --undefined-- 
0.050 	 --undefined-- 
0.055 	 --undefined-- 
0.060 	 --undefined-- 
0.065 	 --undefined-- 
0.070 	 220.3 
0.075 	 220.3 
0.080 	 220.3 
0.085 	 220.3 
0.090 	 220.3 
0.095 	 220.5 
0.100 	 220.6 
0.105 	 220.8 
0.110 	 221.0 
0.115 	 221.0 
0.120 	 220.9 
0.125 	 220.7 
0.130 	 220.4 
0.135 	 219.9 
0.140 	 219.3 
0.145 	 218.7 
0.150 	 217.9 
0.155 	 216.8 
0.160 	 214.6 
0.165 	 210.7 
0.170 	 202.8 
0.175 	 197.9 
0.180 	 196.7 
0.185 	 196.0 
0.190 	 195.1 
0.195 	 194.3 
0.200 	 193.9 
0.205 	 195.3 
0.210 	 198.5 
0.215 	 201.0 
0.220 	 202.1 
0.225 	 202.4 
0.230 	 202.3 
0.235 	 201.9 
0.240 	 201.2 
0.245 	 200.0 
0.250 	 198.1 
0.255 	 195.5 
0.260 	 193.2 
0.265 	 191.7 
0.270 	 190.7 
0.275 	 190.0 
0.280 	 189.4 
0.285 	 188.9 
0.290 	 188.5 
0.295 	 188.0 
0.300 	 187.5 
0.305 	 186.8 
0.310 	 185.9 
0.315 	 185.1 
0.320 	 184.3 
0.325 	 183.7 
0.330 	 183.3 
0.335 	 183.0 
0.340 	 182.9 
0.345 	 182.7 
0.350 	 182.4 
0.355 	 181.9 
0.360 	 181.4 
0.365 	 180.8 
0.370 	 180.2 
0.375 	 179.5 
0.380 	 178.9 
0.385 	 178.3 
0.390 	 177.7 
0.395 	 177.0 
0.400 	 176.1 
0.405 	 175.4 
0.410 	 175.1 
0.415 	 175.1 
0.420 	 175.3 
0.425 	 175.4 
0.430 	 175.4 
0.435 	 175.1 
0.440 	 174.5 
0.445 	 173.7 
0.450 	 173.0 
0.455 	 172.4 
0.460 	 172.0 
0.465 	 171.7 
0.470 	 171.4 
0.475 	 170.8 
0.480 	 169.2 
0.485 	 167.9 
0.490 	 167.6 
0.495 	 167.6 
0.500 	 167.6 
0.505 	 167.1 
0.510 	 164.2 
0.515 	 162.2 
0.520 	 161.4 
0.525 	 --undefined-- 
0.530 	 --undefined-- 
0.535 	 --undefined-- 
0.540 	 --undefined-- 
0.545 	 --undefined-- 
0.550 	 --undefined-- 
0.555 	 --undefined-- 
0.560 	 --undefined-- 
0.565 	 --undefined-- 
0.570 	 --undefined-- 
0.575 	 --undefined-- 
0.580 	 --undefined-- 
0.585 	 --undefined-- 
0.590 	 --undefined-- 
0.595 	 --undefined-- 
0.600 	 --undefined-- 
0.605 	 --undefined-- 
0.610 	 --undefined-- 
0.615 	 --undefined-- 
0.620 	 --undefined-- 
0.625 	 --undefined-- 
0.630 	 --undefined-- 
0.635 	 --undefined-- 
0.640 	 --undefined-- 
0.645 	 --undefined-- 
0.650 	 --undefined-- 
