'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.485 	 421.2 	 1252.7 	 2428.3 	 3847.7 
0.490 	 298.5 	 1215.1 	 2476.8 	 3861.9 
0.495 	 808.6 	 1120.9 	 2881.2 	 4007.8 
0.500 	 1064.4 	 2623.2 	 3864.3 	 --undefined-- 
0.505 	 929.7 	 2579.2 	 4003.3 	 --undefined-- 
0.510 	 848.9 	 2212.8 	 2791.0 	 4076.4 
0.515 	 948.9 	 1818.4 	 2721.4 	 4042.5 
0.520 	 984.3 	 2565.6 	 3837.0 	 4773.9 
0.525 	 888.0 	 2428.5 	 3772.6 	 4895.7 
0.530 	 1025.2 	 2436.3 	 3738.6 	 --undefined-- 
0.535 	 1013.0 	 2533.9 	 3765.2 	 --undefined-- 
0.540 	 893.4 	 2454.8 	 3482.6 	 3692.6 
0.545 	 827.9 	 2200.4 	 3513.6 	 3816.5 
0.550 	 816.5 	 2180.9 	 3426.8 	 4117.4 
0.555 	 831.9 	 2229.6 	 3213.6 	 4129.4 
0.560 	 956.1 	 2235.8 	 3354.7 	 4385.0 
0.565 	 993.5 	 2272.8 	 3364.0 	 4486.3 
0.570 	 1013.3 	 1965.0 	 3316.0 	 4043.2 
0.575 	 763.2 	 1769.5 	 3343.7 	 3957.0 
0.580 	 1017.2 	 1948.5 	 3093.4 	 3918.2 
0.585 	 1006.2 	 2328.2 	 3098.0 	 3978.2 
0.590 	 952.8 	 2254.6 	 2957.2 	 4074.7 
0.595 	 1096.8 	 1747.3 	 2956.7 	 4035.4 
0.600 	 1121.1 	 2035.5 	 2982.2 	 4165.8 
0.605 	 926.3 	 2346.9 	 3114.3 	 4472.1 
0.610 	 879.4 	 2243.6 	 3142.7 	 4338.3 
0.615 	 785.4 	 2120.8 	 3217.2 	 4278.6 
0.620 	 857.5 	 2013.0 	 3087.5 	 4103.6 
0.625 	 323.4 	 1548.6 	 2772.8 	 4068.9 
0.630 	 117.6 	 1606.5 	 2814.3 	 4137.1 
0.635 	 1280.2 	 1950.9 	 3045.7 	 4257.2 
0.640 	 1125.7 	 2299.6 	 3175.9 	 4090.8 
0.645 	 1146.8 	 2390.8 	 3019.9 	 4041.7 
0.650 	 1095.1 	 2325.7 	 3328.8 	 4162.7 
0.655 	 980.0 	 2248.5 	 3464.9 	 4470.9 
0.660 	 1006.5 	 2229.5 	 3459.5 	 4330.6 
0.665 	 1112.7 	 2321.1 	 3658.1 	 4043.4 
0.670 	 953.1 	 2296.2 	 3116.1 	 3935.8 
0.675 	 531.7 	 1744.6 	 2555.4 	 3970.6 
0.680 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.685 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.690 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.695 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.700 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
