'name' 	 'time' 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.005 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.010 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.015 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.020 	 --undefined-- 	 --undefined-- 	 --undefined-- 	 --undefined-- 
0.485 	 216.7 	 1188.0 	 2519.6 	 3752.4 
0.490 	 176.2 	 1236.7 	 2503.0 	 3814.7 
0.495 	 342.0 	 1266.1 	 2477.0 	 3843.5 
0.500 	 310.8 	 1203.3 	 2448.8 	 3838.3 
0.505 	 1117.5 	 2329.6 	 3709.4 	 --undefined-- 
0.510 	 1140.7 	 2571.6 	 3827.1 	 --undefined-- 
0.515 	 1040.9 	 2515.4 	 3115.3 	 3773.9 
0.520 	 1048.1 	 2494.7 	 3192.1 	 3734.3 
0.525 	 1060.8 	 2516.0 	 3763.5 	 --undefined-- 
0.530 	 1039.0 	 2508.1 	 3920.5 	 --undefined-- 
0.535 	 920.4 	 2355.9 	 3149.1 	 4006.6 
0.540 	 869.4 	 2098.5 	 3197.6 	 4192.5 
0.545 	 766.9 	 2068.9 	 3144.4 	 4251.0 
0.550 	 725.5 	 2079.0 	 3112.3 	 4203.0 
0.555 	 881.7 	 2088.0 	 3107.3 	 4057.3 
0.560 	 965.0 	 2089.1 	 3252.7 	 4089.8 
0.565 	 890.5 	 2002.0 	 3201.8 	 4170.4 
0.570 	 901.4 	 2082.4 	 3157.5 	 4314.9 
0.575 	 922.3 	 2331.7 	 3204.0 	 4337.0 
0.580 	 909.7 	 2359.2 	 3260.8 	 4221.7 
0.585 	 903.5 	 2009.1 	 2789.7 	 4024.7 
0.590 	 1098.6 	 2052.7 	 2999.0 	 4134.0 
0.595 	 1174.2 	 2260.1 	 3006.5 	 4105.8 
0.600 	 1021.8 	 2372.7 	 2960.4 	 4013.7 
0.605 	 420.9 	 1538.6 	 2621.3 	 3834.4 
0.610 	 337.6 	 1449.9 	 2708.5 	 3800.3 
0.615 	 1331.7 	 2673.2 	 3780.7 	 --undefined-- 
0.620 	 886.9 	 1999.1 	 3400.4 	 3963.9 
0.625 	 914.7 	 2009.3 	 3220.4 	 4179.2 
0.630 	 1037.9 	 2050.4 	 3125.1 	 4191.5 
0.635 	 1163.5 	 2134.1 	 3125.9 	 4217.7 
0.640 	 1150.2 	 2535.9 	 3519.2 	 4793.4 
